detail_id,order_id,item_id,quantity,note
107,51,9,1,Nhiều hành
108,52,15,1,Ít cay
109,52,13,3,
110,52,14,2,Nhiều hành
111,53,15,1,
112,53,14,2,Nhiều hành
113,54,2,2,Ít cay
114,55,19,2,
115,55,20,3,
116,56,18,1,Đóng gói kỹ
117,56,17,3,Đóng gói kỹ
118,56,16,2,Ít cay
119,57,14,1,
120,58,8,3,Đóng gói kỹ
121,58,9,2,
122,58,7,3,
123,59,27,1,Đóng gói kỹ
124,59,26,3,Ít cay
125,60,19,3,
126,60,21,1,Nhiều hành
127,61,10,1,
128,61,12,3,
129,61,11,2,Ít cay
130,62,2,1,
131,62,3,3,Nhiều hành
132,62,1,2,
133,63,4,1,Ít cay
134,63,6,3,Nhiều hành
135,63,5,1,Đóng gói kỹ
136,64,21,3,Ít cay
137,64,19,1,Đóng gói kỹ
138,64,20,2,Ít cay
139,65,16,2,Ít cay
140,65,17,1,Ít cay
141,65,18,2,Đóng gói kỹ
142,66,11,1,Nhiều hành
143,66,12,2,Ít cay
144,66,10,2,Nhiều hành
145,67,18,2,
146,67,16,2,
147,67,17,3,Ít cay
148,68,10,3,Nhiều hành
149,69,26,1,
150,69,27,3,
151,69,25,1,
152,70,28,2,
153,70,30,1,
154,71,10,1,
155,71,12,2,Đóng gói kỹ
156,71,11,3,
157,72,1,2,Nhiều hành
158,72,2,1,
159,72,3,1,
160,73,20,3,Đóng gói kỹ
161,73,19,2,
162,73,21,1,
163,74,4,1,Nhiều hành
164,74,5,2,Nhiều hành
165,75,25,2,
166,75,27,3,Ít cay
167,75,26,3,Nhiều hành
168,76,29,2,
169,76,28,1,Đóng gói kỹ
170,77,9,2,
171,77,7,1,Đóng gói kỹ
172,77,8,2,
173,78,5,1,
174,79,23,1,Đóng gói kỹ
175,80,20,1,
176,80,19,3,Đóng gói kỹ
177,81,7,2,
178,81,8,1,
179,82,4,3,Đóng gói kỹ
180,82,5,2,
181,83,20,3,
182,83,19,3,Đóng gói kỹ
183,84,27,3,
184,84,26,2,Đóng gói kỹ
185,85,4,2,
186,85,5,2,Đóng gói kỹ
187,86,14,1,Ít cay
188,87,6,1,
189,87,5,1,Nhiều hành
190,88,16,3,Đóng gói kỹ
191,89,23,1,Nhiều hành
192,89,22,3,
193,90,5,2,
194,90,4,3,Nhiều hành
195,91,30,3,Nhiều hành
196,92,22,3,
197,93,19,2,Đóng gói kỹ
198,94,13,1,
199,95,2,1,Ít cay
200,95,1,3,Ít cay
201,95,3,1,
202,96,1,3,Nhiều hành
203,96,2,3,
204,96,3,2,
205,97,8,1,Ít cay
206,97,7,1,
207,97,9,3,
208,98,27,1,
209,98,26,3,
210,98,25,3,
211,99,12,1,
212,99,11,3,
213,100,4,2,Nhiều hành
214,100,5,3,Ít cay
215,100,6,2,
216,101,25,3,Đóng gói kỹ
217,101,26,1,
218,102,9,2,
219,102,7,1,Đóng gói kỹ
220,102,8,2,
221,103,10,1,
222,103,12,2,Nhiều hành
223,103,11,1,Nhiều hành
224,104,6,2,
225,104,5,2,Đóng gói kỹ
226,105,19,2,Ít cay
227,105,20,1,Nhiều hành
228,106,8,1,Nhiều hành
229,107,18,2,
230,107,17,2,Đóng gói kỹ
231,107,16,1,Đóng gói kỹ
232,108,3,3,Nhiều hành
233,108,1,1,
234,108,2,1,Ít cay
235,109,25,3,
236,110,21,1,
237,110,19,1,
238,110,20,3,
239,111,12,2,Nhiều hành
240,111,11,2,
241,112,10,2,
242,112,12,3,Ít cay
243,112,11,1,
244,113,7,1,Ít cay
245,113,9,3,Nhiều hành
246,114,7,3,
247,115,3,2,
248,115,2,1,
249,116,23,1,Đóng gói kỹ
250,117,17,3,
251,118,7,3,
252,118,8,1,
253,119,20,1,Nhiều hành
254,120,16,2,Nhiều hành
255,120,17,3,
256,121,22,2,Nhiều hành
257,121,24,1,Đóng gói kỹ
258,122,5,2,
259,122,6,3,
260,123,1,1,
261,124,17,1,
262,124,16,3,
263,125,3,3,Ít cay
264,125,2,1,
265,126,14,1,Nhiều hành
266,126,13,3,
267,127,30,2,
268,127,28,2,
269,128,6,1,Nhiều hành
270,128,5,2,
271,128,4,3,Ít cay
272,129,29,3,Nhiều hành
273,129,30,3,
274,129,28,1,
275,130,2,3,
276,130,1,1,Ít cay
277,130,3,2,Nhiều hành
278,131,14,2,
279,131,13,3,
280,132,6,2,
281,133,1,2,
282,134,17,3,Ít cay
283,134,18,2,
284,135,1,1,
285,135,3,3,Ít cay
286,135,2,3,Đóng gói kỹ
287,136,20,1,
288,136,19,3,Đóng gói kỹ
289,136,21,3,
290,137,28,2,
291,138,18,3,Ít cay
292,138,16,2,
293,138,17,3,
294,139,22,3,
295,139,24,3,Nhiều hành
296,139,23,2,
297,140,4,2,
298,140,5,1,Nhiều hành
299,141,6,2,Nhiều hành
300,141,4,2,Ít cay
301,142,10,2,
302,142,12,1,
303,142,11,3,
304,143,27,1,
305,143,26,1,Nhiều hành
306,143,25,3,
307,144,13,1,
308,144,15,2,Nhiều hành
309,145,5,2,
310,145,4,3,Ít cay
311,146,30,2,
312,147,8,1,Ít cay
313,148,12,2,
314,149,8,1,
315,149,9,2,
316,150,24,2,Đóng gói kỹ
317,150,22,2,Ít cay
318,150,23,1,
319,151,11,1,
320,152,4,3,
321,152,5,2,
322,152,6,1,Đóng gói kỹ
323,153,22,1,
324,154,25,3,
325,155,24,2,
326,156,20,1,
327,156,19,2,
328,157,10,3,
329,157,11,3,Nhiều hành
330,158,26,3,
331,158,25,3,Nhiều hành
332,159,30,3,
333,159,29,2,Ít cay
334,160,17,3,
335,160,18,3,Ít cay
336,160,16,1,
337,161,9,3,Ít cay
338,162,19,2,Nhiều hành
339,162,21,1,
340,162,20,3,
341,163,21,2,
342,163,20,1,
343,164,13,3,
344,164,14,1,
345,164,15,2,
346,165,9,1,
347,166,4,3,Ít cay
348,166,6,2,Ít cay
349,167,22,1,Ít cay
350,167,23,2,Ít cay
351,167,24,3,Đóng gói kỹ
352,168,20,2,
353,168,19,2,
354,168,21,2,
355,169,17,1,Ít cay
356,170,12,1,
357,170,10,2,
358,171,9,2,
359,171,7,1,Nhiều hành
360,171,8,2,
361,172,4,1,Ít cay
362,172,6,3,
363,172,5,2,Nhiều hành
364,173,3,3,Nhiều hành
365,174,14,3,
366,175,12,2,
367,175,11,2,
368,176,26,1,
369,177,25,1,
370,177,26,3,
371,177,27,3,Ít cay
372,178,18,2,Nhiều hành
373,178,16,2,
374,178,17,2,Đóng gói kỹ
375,179,19,1,Ít cay
376,180,13,3,Ít cay
377,180,14,1,
378,181,12,3,
379,182,14,1,
380,182,15,3,Nhiều hành
381,183,3,1,
382,184,6,3,
383,185,10,3,
384,185,11,1,
385,186,14,1,Nhiều hành
386,186,13,2,
387,187,11,2,
388,188,26,2,Đóng gói kỹ
389,188,25,1,
390,188,27,1,Ít cay
391,189,30,2,
392,189,28,1,Đóng gói kỹ
393,189,29,1,Ít cay
394,190,23,3,Nhiều hành
395,190,22,2,
396,190,24,3,
397,191,11,1,
398,191,12,3,
399,191,10,3,
400,192,23,1,
401,192,24,1,
402,192,22,1,
403,193,28,3,
404,193,30,2,
405,194,25,2,Ít cay
406,194,27,3,
407,195,19,1,
408,196,29,2,
409,196,30,2,
410,197,10,3,Ít cay
411,197,12,1,
412,198,19,1,Đóng gói kỹ
413,198,21,3,Ít cay
414,199,27,3,Nhiều hành
415,199,26,2,
416,199,25,1,Ít cay
417,200,29,2,Đóng gói kỹ
418,200,28,3,
419,200,30,1,Nhiều hành
420,201,10,3,Đóng gói kỹ
421,202,28,1,
422,202,29,1,
423,203,21,1,
424,204,26,1,Đóng gói kỹ
425,205,27,2,
426,206,13,2,Ít cay
427,206,15,1,Ít cay
428,206,14,2,
429,207,7,2,
430,207,9,2,
431,207,8,1,
432,208,3,3,Nhiều hành
433,208,2,3,Đóng gói kỹ
434,209,28,1,Ít cay
435,209,29,2,Đóng gói kỹ
436,209,30,1,Ít cay
437,210,7,3,Nhiều hành
438,211,14,1,Đóng gói kỹ
439,211,15,3,
440,211,13,3,Đóng gói kỹ
441,212,16,2,Nhiều hành
442,212,18,3,
443,212,17,3,
444,213,1,2,Nhiều hành
445,213,3,2,Đóng gói kỹ
446,213,2,2,Đóng gói kỹ
447,214,12,2,
448,215,11,2,
449,215,10,3,
450,215,12,2,Ít cay
451,216,6,2,
452,217,7,3,Đóng gói kỹ
453,217,9,1,Đóng gói kỹ
454,218,5,1,
455,219,23,3,
456,220,17,2,Đóng gói kỹ
457,221,17,1,Nhiều hành
458,222,7,2,Đóng gói kỹ
459,223,13,3,Đóng gói kỹ
460,223,14,1,
461,224,8,3,
462,224,7,3,
463,224,9,2,
464,225,22,1,
465,225,24,2,Đóng gói kỹ
466,226,1,3,
467,227,17,1,
468,227,16,3,Nhiều hành
469,228,27,1,Đóng gói kỹ
470,228,25,3,Nhiều hành
471,228,26,2,Nhiều hành
472,229,21,1,
473,230,29,1,
474,230,28,3,Ít cay
475,231,9,1,Ít cay
476,231,8,3,Nhiều hành
477,232,13,2,
478,232,15,1,Ít cay
479,233,14,1,
480,234,15,1,
481,234,13,3,
482,235,11,1,
483,235,12,2,
484,236,3,1,Nhiều hành
485,236,1,2,Ít cay
486,237,8,1,Ít cay
487,237,7,1,
488,238,9,1,
489,238,7,3,
490,238,8,3,
491,239,1,3,Nhiều hành
492,239,2,3,
493,240,6,1,
494,240,5,2,Nhiều hành
495,240,4,2,
496,241,15,2,Nhiều hành
497,242,21,3,Đóng gói kỹ
498,242,19,3,
499,242,20,3,
500,243,11,3,
501,244,18,1,Nhiều hành
502,245,5,3,
503,245,4,3,
504,245,6,1,Nhiều hành
505,246,4,1,
506,246,5,3,
507,246,6,2,
508,247,10,2,
509,248,19,3,
510,249,28,1,Đóng gói kỹ
511,250,11,3,
512,250,12,1,
513,250,10,3,
514,251,10,2,
515,252,22,1,
516,253,3,2,
517,254,9,3,
518,255,8,2,
519,255,9,1,
520,256,25,1,
521,256,27,3,Đóng gói kỹ
522,257,25,1,
523,257,27,2,Ít cay
524,258,7,3,Nhiều hành
525,258,9,1,
526,259,9,3,Nhiều hành
527,259,7,3,
528,260,6,3,Đóng gói kỹ
529,260,5,2,Ít cay
530,260,4,3,
531,261,7,1,Nhiều hành
532,261,8,3,Đóng gói kỹ
533,261,9,2,Ít cay
534,262,22,2,Nhiều hành
535,262,23,2,
536,263,24,2,
537,264,4,2,
538,264,6,1,Đóng gói kỹ
539,264,5,3,Nhiều hành
540,265,13,3,
541,265,14,1,
542,266,24,1,
543,267,1,3,
544,267,2,1,Đóng gói kỹ
545,267,3,3,
546,268,20,1,
547,269,22,2,
548,270,11,3,Ít cay
549,271,21,3,Nhiều hành
550,271,20,2,
551,272,13,1,Ít cay
552,272,15,1,Nhiều hành
553,273,19,2,Đóng gói kỹ
554,274,27,2,Đóng gói kỹ
555,274,26,1,Nhiều hành
556,275,21,1,
557,276,20,1,Đóng gói kỹ
558,276,19,3,Đóng gói kỹ
559,276,21,2,Ít cay
560,277,15,3,
561,277,14,2,Ít cay
562,277,13,3,
563,278,23,3,Ít cay
564,278,24,2,
565,278,22,3,Nhiều hành
566,279,16,1,Đóng gói kỹ
567,279,17,3,Đóng gói kỹ
568,279,18,1,Ít cay
569,280,16,3,
570,281,28,1,
571,281,30,3,
572,281,29,1,
573,282,14,2,
574,282,15,1,Đóng gói kỹ
575,283,6,1,Đóng gói kỹ
576,284,19,3,Đóng gói kỹ
577,284,21,1,
578,285,21,3,
579,286,5,1,Ít cay
580,286,6,1,Nhiều hành
581,287,21,3,
582,288,19,3,
583,288,21,2,
584,288,20,3,
585,289,14,1,Nhiều hành
586,289,13,1,Đóng gói kỹ
587,290,14,2,Nhiều hành
588,290,13,2,
589,291,20,1,Ít cay
590,291,21,2,Nhiều hành
591,292,16,3,Ít cay
592,292,18,2,
593,293,29,1,
594,293,30,2,
595,294,25,3,
596,294,27,2,
597,295,19,1,Đóng gói kỹ
598,295,21,1,Nhiều hành
599,296,7,1,Ít cay
600,297,16,3,
601,297,17,2,
602,297,18,1,
603,298,14,1,
604,298,13,1,Nhiều hành
605,298,15,3,
606,299,16,3,
607,300,29,1,
608,300,30,1,
609,301,16,2,
610,301,18,1,Đóng gói kỹ
611,301,17,1,Nhiều hành
612,302,16,1,
613,303,14,2,
614,303,15,1,Đóng gói kỹ
615,303,13,3,Ít cay
616,304,20,3,Ít cay
617,304,21,2,
618,305,28,1,
619,306,26,1,Đóng gói kỹ
620,306,27,1,
621,306,25,2,
622,307,16,1,
623,307,18,1,
624,308,20,1,
625,308,19,3,Nhiều hành
626,309,12,1,
627,309,10,2,
628,310,1,1,
629,310,3,2,Nhiều hành
630,310,2,1,
631,311,30,2,Ít cay
632,311,29,1,Nhiều hành
633,312,8,3,Nhiều hành
634,312,7,2,Ít cay
635,313,27,1,Nhiều hành
636,313,25,3,
637,313,26,2,
638,314,19,3,
639,315,17,3,Ít cay
640,315,18,3,Nhiều hành
641,315,16,2,Ít cay
642,316,5,3,
643,316,4,1,Ít cay
644,317,5,2,Đóng gói kỹ
645,317,4,3,
646,318,12,2,
647,319,21,2,Nhiều hành
648,319,20,1,Ít cay
649,319,19,1,Ít cay
650,320,26,3,Ít cay
651,320,27,3,
652,321,15,2,Đóng gói kỹ
653,321,14,2,
654,321,13,1,Nhiều hành
655,322,17,2,Đóng gói kỹ
656,322,16,1,Ít cay
657,323,20,1,Đóng gói kỹ
658,323,19,1,Nhiều hành
659,323,21,3,
660,324,4,1,
661,324,5,3,
662,325,14,2,Nhiều hành
663,326,23,1,Ít cay
664,326,24,2,Nhiều hành
665,327,21,2,Ít cay
666,328,20,1,
667,329,25,3,Ít cay
668,330,10,3,Đóng gói kỹ
669,331,28,3,
670,331,30,1,Ít cay
671,331,29,2,Nhiều hành
672,332,16,1,
673,332,17,3,
674,333,5,2,Ít cay
675,334,25,3,Ít cay
676,335,9,2,Nhiều hành
677,335,8,1,Ít cay
678,335,7,1,Đóng gói kỹ
679,336,22,2,
680,336,24,2,Ít cay
681,336,23,2,
682,337,15,1,
683,338,29,1,Nhiều hành
684,338,30,2,Ít cay
685,339,9,1,
686,340,21,2,Đóng gói kỹ
687,340,20,2,Đóng gói kỹ
688,340,19,2,Đóng gói kỹ
689,341,10,2,
690,342,1,2,Ít cay
691,342,2,3,Nhiều hành
692,342,3,2,
693,343,24,2,Ít cay
694,344,14,2,
695,344,15,3,
696,344,13,2,Ít cay
697,345,23,2,Nhiều hành
698,345,22,2,
699,346,28,2,
700,346,29,2,
701,347,5,3,Nhiều hành
702,347,6,3,Ít cay
703,347,4,1,
704,348,25,2,
705,348,26,2,Ít cay
706,348,27,1,
707,349,16,1,Đóng gói kỹ
708,350,25,3,Ít cay
709,350,26,2,
710,350,27,2,
711,351,22,1,
712,352,6,3,
713,352,5,3,Ít cay
714,352,4,3,
715,353,19,3,Ít cay
716,353,20,3,
717,354,7,3,
718,355,10,3,Đóng gói kỹ
719,356,18,1,
720,357,15,1,Nhiều hành
721,358,28,3,
722,358,29,2,Nhiều hành
723,358,30,3,
724,359,9,3,
725,360,1,2,
726,361,22,1,Nhiều hành
727,361,24,2,Nhiều hành
728,361,23,2,
729,362,30,3,
730,362,28,1,
731,363,26,3,
732,364,6,1,Nhiều hành
733,364,5,3,Đóng gói kỹ
734,365,23,3,Ít cay
735,365,24,1,Nhiều hành
736,365,22,1,
737,366,13,3,Nhiều hành
738,366,14,2,
739,366,15,1,
740,367,28,1,
741,368,8,2,
742,368,9,1,
743,369,6,1,Nhiều hành
744,369,4,3,
745,370,15,2,
746,371,13,1,
747,372,10,3,
748,372,11,1,Nhiều hành
749,372,12,1,
750,373,20,3,Đóng gói kỹ
751,373,21,1,
752,374,5,3,
753,374,4,2,
754,374,6,3,
755,375,8,3,Ít cay
756,375,7,2,
757,376,6,3,Nhiều hành
758,376,5,3,Ít cay
759,377,12,1,Ít cay
760,377,11,2,
761,377,10,1,
762,378,20,3,Ít cay
763,379,24,3,
764,379,23,1,Ít cay
765,379,22,3,
766,380,13,1,Ít cay
767,380,14,2,
768,380,15,2,
769,381,23,3,Nhiều hành
770,381,24,3,
771,381,22,1,
772,382,27,3,Đóng gói kỹ
773,382,25,3,Ít cay
774,383,26,1,Đóng gói kỹ
775,383,25,2,
776,383,27,3,Ít cay
777,384,24,2,Ít cay
778,385,30,3,Nhiều hành
779,385,29,2,
780,386,6,1,
781,387,1,3,Đóng gói kỹ
782,387,3,1,
783,388,10,3,
784,388,12,1,
785,388,11,2,
786,389,4,2,Đóng gói kỹ
787,389,5,2,
788,389,6,2,
789,390,29,3,Nhiều hành
790,391,24,1,
791,392,2,2,
792,392,1,3,
793,392,3,3,
794,393,29,1,Ít cay
795,394,3,3,
796,395,20,3,
797,395,19,1,Nhiều hành
798,396,26,2,
799,396,25,2,
800,396,27,1,
801,397,7,1,Đóng gói kỹ
802,397,9,3,Đóng gói kỹ
803,397,8,1,Đóng gói kỹ
804,398,7,3,Nhiều hành
805,399,16,1,
806,399,17,1,
807,399,18,1,
808,400,14,1,Nhiều hành
809,400,15,2,
810,400,13,1,
811,401,3,3,
812,401,2,2,Ít cay
813,402,25,1,Ít cay
814,402,26,1,
815,403,27,1,
816,404,25,3,
817,404,26,2,Ít cay
818,405,22,1,
819,405,23,3,Nhiều hành
820,405,24,3,Ít cay
821,406,28,2,
822,406,29,2,Ít cay
823,406,30,3,
824,407,18,1,Ít cay
825,408,23,3,
826,409,30,2,
827,410,29,1,
828,410,28,1,
829,411,18,1,Ít cay
830,412,2,1,
831,413,26,3,Đóng gói kỹ
832,414,3,3,Nhiều hành
833,414,1,3,
834,415,26,1,
835,415,25,2,Ít cay
836,415,27,1,Ít cay
837,416,8,2,
838,417,25,2,Đóng gói kỹ
839,417,27,3,
840,418,22,2,
841,418,23,3,
842,419,3,3,
843,419,2,2,
844,419,1,2,
845,420,1,3,Ít cay
846,420,3,2,
847,420,2,3,Đóng gói kỹ
848,421,16,1,
849,421,17,1,
850,421,18,3,Nhiều hành
851,422,18,1,Đóng gói kỹ
852,422,16,3,
853,423,4,3,Đóng gói kỹ
854,423,6,1,Đóng gói kỹ
855,423,5,2,Ít cay
856,424,11,1,
857,425,26,3,
858,425,25,1,
859,425,27,3,
860,426,10,3,
861,427,12,2,Nhiều hành
862,427,10,3,Đóng gói kỹ
863,428,9,3,
864,428,7,1,Ít cay
865,429,4,2,
866,429,6,2,Ít cay
867,430,29,3,Nhiều hành
868,430,28,3,
869,430,30,1,Nhiều hành
870,431,6,3,Nhiều hành
871,432,29,1,Nhiều hành
872,432,30,2,
873,433,10,1,Nhiều hành
874,434,29,2,Nhiều hành
875,434,28,3,Nhiều hành
876,435,26,1,
877,435,27,1,Đóng gói kỹ
878,435,25,2,
879,436,23,3,Đóng gói kỹ
880,436,24,1,Đóng gói kỹ
881,436,22,2,
882,437,18,1,Đóng gói kỹ
883,437,17,2,
884,437,16,2,Ít cay
885,438,11,1,Ít cay
886,438,10,3,Nhiều hành
887,439,17,3,
888,439,16,3,
889,440,7,3,
890,441,6,1,Ít cay
891,442,2,3,
892,442,3,2,
893,442,1,3,Đóng gói kỹ
894,443,1,2,
895,443,3,2,
896,443,2,1,
897,444,16,3,Nhiều hành
898,445,13,2,
899,445,14,3,Đóng gói kỹ
900,445,15,3,
901,446,10,1,
902,447,2,1,Nhiều hành
903,447,1,1,
904,448,7,3,Ít cay
905,449,21,1,Nhiều hành
906,450,9,1,
907,451,16,2,Đóng gói kỹ
908,451,17,2,Nhiều hành
909,451,18,1,
910,452,10,2,
911,453,7,3,
912,453,8,2,Nhiều hành
913,453,9,1,Đóng gói kỹ
914,454,5,3,Ít cay
915,455,3,3,Ít cay
916,456,7,2,Đóng gói kỹ
917,457,24,2,
918,458,29,3,
919,458,30,1,Ít cay
920,459,13,3,Ít cay
921,460,5,2,
922,460,4,1,
923,460,6,1,Ít cay
924,461,13,1,
925,461,14,3,Ít cay
926,461,15,2,
927,462,27,3,
928,463,17,3,
929,464,30,2,
930,464,29,1,Nhiều hành
931,464,28,2,
932,465,5,1,
933,465,6,1,Nhiều hành
934,466,10,1,
935,466,12,2,Đóng gói kỹ
936,466,11,2,
937,467,23,3,
938,467,24,1,
939,467,22,3,
940,468,30,2,
941,469,3,1,
942,469,1,3,
943,470,28,2,
944,470,29,1,
945,471,6,2,
946,471,5,2,Nhiều hành
947,472,16,3,Nhiều hành
948,472,17,3,
949,473,2,2,
950,473,1,3,
951,474,30,1,
952,474,28,1,Ít cay
953,474,29,3,Đóng gói kỹ
954,475,7,3,
955,475,9,1,Ít cay
956,475,8,3,Nhiều hành
957,476,13,3,
958,477,27,2,Nhiều hành
959,478,24,1,Đóng gói kỹ
960,478,23,3,
961,478,22,3,
962,479,9,1,Ít cay
963,480,13,1,
964,480,15,1,Đóng gói kỹ
965,480,14,2,
966,481,20,3,Ít cay
967,482,10,1,
968,483,1,3,Nhiều hành
969,484,16,1,
970,484,17,1,
971,484,18,1,
972,485,22,1,Đóng gói kỹ
973,485,23,2,
974,485,24,1,
975,486,23,1,
976,486,24,1,
977,487,15,2,
978,487,14,2,Ít cay
979,488,28,1,Đóng gói kỹ
980,488,30,3,Ít cay
981,488,29,1,
982,489,5,1,
983,489,4,3,
984,489,6,2,Nhiều hành
985,490,14,3,
986,490,13,3,Đóng gói kỹ
987,491,18,2,Đóng gói kỹ
988,491,16,2,
989,491,17,3,Nhiều hành
990,492,19,3,Nhiều hành
991,493,17,1,Ít cay
992,493,18,3,Ít cay
993,494,4,3,Nhiều hành
994,494,5,2,Nhiều hành
995,495,24,3,Nhiều hành
996,496,24,1,
997,496,22,1,
998,496,23,3,Ít cay
999,497,19,2,Ít cay
1000,497,20,3,Ít cay
1001,497,21,1,
1002,498,13,1,Nhiều hành
1003,498,14,3,Nhiều hành
1004,499,1,2,
1005,499,2,1,
1006,499,3,3,
1007,500,24,2,Ít cay
1008,501,20,2,Đóng gói kỹ
1009,501,21,3,Nhiều hành
1010,502,16,1,Đóng gói kỹ
1011,502,18,2,Ít cay
1012,503,18,3,
1013,503,17,2,
1014,503,16,1,
1015,504,20,1,Nhiều hành
1016,504,21,3,
1017,505,7,2,
1018,505,9,2,
1019,505,8,3,
1020,506,27,1,Nhiều hành
1021,506,26,2,Ít cay
1022,507,7,1,
1023,507,9,1,Nhiều hành
1024,508,14,1,Nhiều hành
1025,508,13,2,Nhiều hành
1026,509,8,1,Ít cay
1027,509,7,1,
1028,510,9,1,Nhiều hành
1029,510,7,1,Ít cay
1030,511,15,3,
1031,511,14,3,Nhiều hành
1032,512,17,3,
1033,512,16,2,
1034,512,18,1,
1035,513,28,3,
1036,514,26,1,Nhiều hành
1037,514,27,3,
1038,515,20,1,
1039,515,19,1,
1040,516,19,1,
1041,516,21,1,
1042,517,9,3,
1043,517,7,2,
1044,518,22,3,
1045,518,23,2,
1046,519,19,3,
1047,520,6,3,
1048,521,28,1,
1049,521,30,1,Nhiều hành
1050,522,21,2,Ít cay
1051,522,20,3,Đóng gói kỹ
1052,522,19,2,Nhiều hành
1053,523,16,2,
1054,523,18,1,
1055,523,17,2,Ít cay
1056,524,14,2,
1057,525,5,1,
1058,525,6,2,
1059,525,4,2,
1060,526,16,2,
1061,526,17,3,Ít cay
1062,526,18,3,Đóng gói kỹ
1063,527,21,2,
1064,528,14,2,
1065,529,14,1,
1066,529,13,2,Đóng gói kỹ
1067,530,24,1,Ít cay
1068,530,22,2,Nhiều hành
1069,531,17,1,
1070,532,1,3,
1071,532,3,2,Đóng gói kỹ
1072,533,25,2,Đóng gói kỹ
1073,533,27,3,
1074,534,5,2,
1075,534,6,2,Đóng gói kỹ
1076,534,4,1,
1077,535,14,1,Đóng gói kỹ
1078,535,15,2,Đóng gói kỹ
1079,536,24,2,
1080,536,23,1,
1081,536,22,3,
1082,537,24,2,Nhiều hành
1083,538,1,2,
1084,538,2,3,
1085,538,3,2,Ít cay
1086,539,26,3,Đóng gói kỹ
1087,539,27,1,
1088,540,26,2,
1089,541,4,1,
1090,541,5,1,Ít cay
1091,542,23,3,Nhiều hành
1092,542,22,3,Ít cay
1093,542,24,1,
1094,543,30,1,
1095,543,28,2,Nhiều hành
1096,544,7,2,Đóng gói kỹ
1097,545,16,3,
1098,546,6,2,Ít cay
1099,547,24,2,Đóng gói kỹ
1100,548,28,3,
1101,549,18,2,
1102,550,11,2,Đóng gói kỹ
1103,550,10,1,
1104,550,12,3,Đóng gói kỹ
1105,551,20,1,Nhiều hành
1106,552,21,3,
1107,552,20,1,
1108,552,19,2,
1109,553,25,2,
1110,554,14,3,Nhiều hành
1111,554,13,3,Nhiều hành
1112,554,15,1,
1113,555,15,2,Ít cay
1114,555,14,1,Nhiều hành
1115,556,26,2,
1116,556,27,1,Đóng gói kỹ
1117,557,25,2,Đóng gói kỹ
1118,558,26,3,Đóng gói kỹ
1119,558,25,1,
1120,558,27,1,
1121,559,12,3,Nhiều hành
1122,559,11,2,Đóng gói kỹ
1123,560,5,1,
1124,561,3,2,
1125,561,1,3,Nhiều hành
1126,562,5,1,Đóng gói kỹ
1127,562,4,3,
1128,563,4,1,
1129,564,24,2,
1130,565,11,1,Ít cay
1131,566,5,1,
1132,566,4,1,Nhiều hành
1133,567,9,3,
